date,open,high,low,close,change
2015-11-03,2644.0,2659.8,2643.7,2659.8,0.62
2015-11-04,2664.2,2664.2,2659.1,2659.1,-0.03
2015-11-05,2677.0,2682.3,2661.7,2661.7,0.1
2015-11-06,2657.5,2659.1,2657.5,2659.1,-0.1
2015-11-09,2690.9,2690.9,2673.1,2681.2,0.83
2015-11-10,2679.3,2679.3,2677.1,2677.1,-0.15
2015-11-11,2675.6,2677.4,2669.7,2669.7,-0.28
2015-11-12,2666.0,2671.1,2648.3,2648.3,-0.8
2015-11-13,2650.1,2672.8,2650.1,2672.8,0.93
2015-11-16,2689.0,2689.2,2689.0,2689.2,0.61
2015-11-17,2701.6,2701.6,2662.3,2666.5,-0.84
2015-11-18,2668.4,2668.4,2660.2,2660.2,-0.24
2015-11-19,2657.0,2660.4,2657.0,2660.4,0.01
2015-11-20,2659.6,2670.5,2659.6,2670.5,0.38
2015-11-23,2673.2,2673.2,2664.3,2664.3,-0.23
2015-11-24,2665.0,2671.5,2665.0,2671.5,0.27
2015-11-25,2670.3,2701.3,2670.3,2694.9,0.88
2015-11-26,2695.3,2704.0,2695.3,2704.0,0.34
2015-11-27,2705.0,2705.0,2698.6,2698.6,-0.2
2015-11-30,2701.9,2717.0,2700.6,2717.0,0.68
2015-12-01,2719.3,2720.0,2712.6,2712.6,-0.16
2015-12-02,2713.2,2713.2,2684.2,2684.2,-1.05
2015-12-03,2684.7,2692.5,2598.6,2598.6,-3.19
2015-12-04,2598.4,2699.3,2598.4,2699.3,3.88
2015-12-07,2702.4,2702.4,2691.1,2691.1,-0.3
2015-12-08,2691.4,2691.4,2681.5,2681.5,-0.36
2015-12-09,2684.8,2690.3,2665.8,2665.8,-0.59
2015-12-10,2667.1,2682.7,2667.1,2682.7,0.63
2015-12-11,2688.1,2710.8,2688.1,2702.6,0.74
2015-12-14,2705.6,2705.6,2695.6,2695.6,-0.26
2015-12-15,2696.5,2718.6,2696.5,2718.6,0.85
2015-12-16,2716.7,2716.7,2700.5,2702.0,-0.61
2015-12-17,2711.5,2711.5,2693.1,2697.1,-0.18
2015-12-18,2694.7,2721.3,2694.7,2714.7,0.65
2015-12-21,2712.7,2717.3,2705.6,2705.6,-0.34
2015-12-22,2707.3,2718.6,2707.3,2715.1,0.35
2015-12-23,2716.1,2728.9,2716.1,2728.9,0.51
2015-12-24,2726.4,2726.4,2716.7,2716.7,-0.45
2015-12-25,2716.8,2716.8,2713.6,2713.6,-0.11
2015-12-28,2715.0,2726.0,2715.0,2726.0,0.46
2015-12-29,2722.9,2734.9,2722.9,2734.9,0.33
2015-12-30,2733.7,2733.7,2722.1,2722.5,-0.45
2015-12-31,2719.9,2729.2,2719.9,2729.2,0.25
2016-01-01,2729.2,2729.2,2728.1,2728.6,-0.02
2016-01-04,2732.1,2743.0,2720.5,2743.0,0.53
2016-01-05,2742.3,2744.7,2740.7,2744.7,0.06
2016-01-06,2745.4,2745.4,2732.5,2732.5,-0.44
2016-01-07,2732.7,2739.7,2723.3,2723.3,-0.34
2016-01-08,2724.8,2779.6,2724.8,2765.5,1.55
2016-01-11,2763.1,2787.6,2763.1,2787.6,0.8
2016-01-12,2791.1,2791.1,2777.3,2777.3,-0.37
2016-01-13,2782.0,2782.0,2730.6,2730.6,-1.68
2016-01-14,2726.1,2781.5,2726.1,2781.5,1.86
2016-01-15,2795.9,2795.9,2776.1,2776.1,-0.19
2016-01-18,2774.8,2815.0,2774.8,2778.8,0.1
2016-01-19,2780.2,2811.0,2761.3,2761.3,-0.63
2016-01-20,2757.1,2806.0,2757.1,2777.7,0.59
2016-01-21,2781.8,2810.0,2771.7,2779.5,0.06
2016-01-22,2786.0,2807.0,2785.8,2793.3,0.5
2016-01-25,2793.5,2805.0,2776.9,2776.9,-0.59
2016-01-26,2777.4,2815.0,2772.0,2772.0,-0.18
2016-01-27,2774.7,2815.0,2774.7,2778.6,0.24
2016-01-28,2779.5,2825.0,2779.5,2821.0,1.53
2016-01-29,2795.1,2825.0,2777.1,2800.3,-0.73
2016-02-01,2798.5,2821.0,2771.4,2771.4,-1.03
2016-02-02,2770.8,2831.0,2770.8,2776.1,0.17
2016-02-03,2773.1,2831.0,2735.3,2735.3,-1.47
2016-02-04,2727.3,2831.0,2727.3,2831.0,3.5
2016-02-05,2797.5,2815.0,2797.5,2815.0,-0.57
2016-02-08,2816.2,2825.0,2801.1,2820.0,0.18
2016-02-09,2779.6,2835.0,2779.6,2780.1,-1.41
2016-02-10,2778.8,2831.0,2778.8,2825.0,1.62
2016-02-11,2779.4,2830.0,2779.4,2830.0,0.18
2016-02-12,2813.1,2825.0,2803.9,2809.4,-0.73
2016-02-15,2814.6,2814.6,2791.0,2791.0,-0.65
2016-02-16,2797.4,2830.0,2787.9,2830.0,1.4
2016-02-17,2795.1,2836.0,2795.1,2820.5,-0.34
2016-02-18,2817.5,2836.0,2812.7,2812.7,-0.28
2016-02-19,2811.1,2836.0,2809.4,2809.4,-0.12
2016-02-22,2815.6,2841.0,2813.3,2817.9,0.3
2016-02-23,2816.1,2841.0,2813.0,2841.0,0.82
2016-02-24,2806.9,2845.0,2800.9,2800.9,-1.41
2016-02-25,2801.4,2836.0,2801.4,2817.2,0.58
2016-02-26,2830.0,2839.2,2809.3,2839.2,0.78
2016-02-29,2840.3,2840.3,2811.2,2814.0,-0.89
2016-03-01,2835.0,2836.0,2815.0,2816.9,0.1
2016-03-02,2815.5,2836.0,2812.9,2836.0,0.68
2016-03-03,2808.5,2846.0,2794.0,2794.0,-1.48
2016-03-04,2794.5,2846.0,2794.5,2807.3,0.48
2016-03-07,2809.9,2809.9,2809.4,2809.4,0.07
2016-03-08,2793.5,2826.8,2793.5,2826.8,0.62
2016-03-09,2830.0,2830.0,2823.1,2823.1,-0.13
2016-03-10,2820.2,2822.0,2820.2,2822.0,-0.04
2016-03-11,2768.9,2824.4,2768.9,2815.8,-0.22
2016-03-14,2814.6,2845.0,2814.6,2827.6,0.42
2016-03-15,2845.0,2850.0,2821.7,2850.0,0.79
2016-03-16,2845.0,2846.0,2793.1,2793.1,-2.0
2016-03-17,2792.2,2846.0,2792.2,2826.6,1.2
2016-03-18,2823.4,2823.4,2823.4,2823.4,-0.11
2016-03-21,2821.7,2846.0,2821.7,2843.0,0.69
